"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","information regarding weed control of weeds ?","altrazine@ 150 gram in 60 liter in water to control of weeds","HIMACHAL PRADESH","KANGRA","DEHRA GOPIPUR                                     ","2017-07-01 10:47:27.173"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","CONTACT NO ANIMAL HUSBANDRY ?","01894-230467 , 18001808006 .","HIMACHAL PRADESH","KANGRA","DEHRA GOPIPUR                                     ","2017-07-01 14:19:57.673"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","some,chance of rainfall today.","HIMACHAL PRADESH","KANGRA","DEHRA GOPIPUR                                     ","2017-07-01 14:56:49.963"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","some,chance of rainfall today.","HIMACHAL PRADESH","KANGRA","NAGROTA BAGWAN                                    ","2017-07-01 16:41:17.283"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","some,chance of rainfall today.","HIMACHAL PRADESH","KANGRA","KANGRA                                            ","2017-07-01 17:59:30.357"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","some,chance of rainfall today.","HIMACHAL PRADESH","KANGRA","NURPUR                                            ","2017-07-01 19:27:23.757"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","some,chance of rainfall today.","HIMACHAL PRADESH","KANGRA","NURPUR                                            ","2017-07-01 21:37:02.980"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","some,chance of rainfall today.","HIMACHAL PRADESH","KANGRA","DHARAMSHALA","2017-07-02 08:23:38.767"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","some,chance of rainfall today.","HIMACHAL PRADESH","KANGRA","SULAH                                             ","2017-07-02 09:14:32.263"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","some,chance of rainfall today.","HIMACHAL PRADESH","KANGRA","PANCHRUKHI                                        ","2017-07-02 09:34:52.267"
"KHARIF","AGRICULTURE","Cereals","Wheat","Cultural Practices","Information regarding for fertilizer dose in paddy crops?","Urea-16,KG,super phosphate-20,MOP-5KG /BIGHA fertilizer dose in paddy.","HIMACHAL PRADESH","KANGRA","NAGROTA BAGWAN                                    ","2017-07-02 15:45:30.863"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","some,chance of rainfall today.","HIMACHAL PRADESH","KANGRA","PRAGPUR                                           ","2017-07-02 16:02:18.813"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","some,chance of rainfall today.","HIMACHAL PRADESH","KANGRA","FATEHPUR                                          ","2017-07-02 17:30:59.083"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","some,chance of rainfall today.","HIMACHAL PRADESH","KANGRA","INDORA                                            ","2017-07-02 20:18:48.340"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","Cultural Practices","how to  Control root rot in bitter gourd ?","Control root rot in bitter gourd are drenching indofil m-45 @ 25gm + bavistin @ 10gm/10 litre of water.","HIMACHAL PRADESH","KANGRA","INDORA                                            ","2017-07-02 20:25:10.823"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","Cultural Practices","how to Control root rot in bottle gourd?","Control root rot in bottle gourd are drenching indofil m-45 @ 25gm + bavistin @ 10gm/10 litre of water.","HIMACHAL PRADESH","KANGRA","INDORA                                            ","2017-07-02 21:18:59.433"
